# Nava Correhuelas. Node attributes for the animal and plant modes.
# Variables:
# class, order, family, genus, species: higher taxonomic level and species
# spcode, code for species name
# w, body mass (g)
# g, gape width for animals; fruit diameter for plants, mm
# f, proportion of fruits in diet
# a, local abundance (no. birds/ha)
# geog, geographic area (no. localities with presence in 19 sites in S Spain)
# ph, phenology; no. months present in the area or with ripe fruits available
# pp, ps, pa, pu, proportions of forbidden interactions due to plehnological
#       mismatch, size mismatch, accesibility constraints, and unknown causes
# hab, main habitat type
# diet, diet category
# forag, foraging mode
# noct, is nocturnal?
# nativ, is native? (0 codes non native species)
# frlen, fruit length, mm
# fleshy, is the fruit fleshy?
# seedm, seed dry mass (mg)
# height, plant height (m)
# grwform, growth form
#
class,order,family,genus,species,spcode,w,g,f,a,geog,ph,pp,ps,pa,pu,hab,diet,forag,noct,nativ,frlen,fleshy,seedm,height,grwform
Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus.ulmifolius,Ruulm,NA,11.8,NA,0.00010,6,1,0.2121,NA,NA,0.5152,climax,NA,NA,NA,1,13.1,Yes,0.002,1.5,liana
Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus.aria,Soari,NA,11.0,NA,0.00010,4,2,0.2121,NA,0.1515,0.4848,climax,NA,NA,NA,1,11.0,Yes,0.008,3.0,tree
Gymnospermae,Pinopsida,Taxaceae,Taxus,Taxus.baccata,Tabac,NA,10.9,NA,2.37500,9,2.5,0.3030,NA,NA,0.4242,climax,NA,NA,NA,1,10.3,Yes,0.070,5.5,tree
Aves,Columbiformes,Columbidae,Columba,Columba.palumbus,Copal,459.5,16.2,0.6000,0.34639,7,12,NA,NA,0.2000,0.2400,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Corvidae,Corvus,Corvus.corax,Cocrx,1083.9,23.0,0.7130,0.10120,8,12,NA,NA,0.1600,0.3200,other,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Corvidae,Corvus,Corvus.corone,Cocor,520.0,21.0,0.4970,0.30120,8,12,0.4800,NA,NA,0.0800,other,other,social,0,1,NA,NA,NA,NA,NA
Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos.major,Demaj,73.8,13.8,0.0800,0.09036,10,12,0.6000,NA,NA,NA,forest,other,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Erithacus,Erithacus.rubecula,Errub,15.8,8.5,0.6593,2.25904,13,12,NA,NA,0.2000,0.5200,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula.hypoleuca,Fihyp,14.1,7.7,0.3440,0.03012,12,1,NA,NA,0.1600,0.5600,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus.ochruros,Phoch,16.4,8.4,0.5000,12.69578,17,6,NA,NA,0.1200,0.7600,other,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus.phoenicurus,Phpho,15.0,8.0,0.4820,2.00301,7,6,0.6400,NA,0.0800,0.1600,other,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Corvidae,Pica,Pica.pica,Pipic,166.0,19.8,0.5300,0.02156,4,12,NA,NA,0.0800,0.7600,other,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.atricapilla,Syatr,17.5,8.0,0.8610,0.79819,14,10,0.6400,NA,0.0400,0.2400,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.borin,Sybor,18.7,8.0,0.9240,0.10542,6,1,NA,NA,0.0400,0.8800,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.cantillans,Sycan,10.9,5.7,0.6830,0.19578,6,1,NA,NA,0.1200,0.8000,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.communis,Sycom,16.9,7.3,0.9620,2.80120,12,1,NA,NA,0.1600,0.7600,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.conspicillata,Sycon,9.5,5.7,0.4500,0.01506,6,1,0.6800,NA,NA,0.2400,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.melanocephala,Symel,11.5,6.6,0.7390,0.46687,10,1,NA,NA,0.3600,0.6000,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.iliacus,Tuili,62.9,12.1,0.9800,2.54800,18,5,NA,NA,0.2800,0.6800,forest,fruit,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.merula,Tumer,84.0,13.7,0.8890,5.60241,14,12,0.3600,NA,0.1600,0.4400,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.philomelos,Tuphi,65.8,12.2,0.9890,0.02564,14,2,0.5200,NA,0.0800,0.3600,forest,fruit,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.pilaris,Tupil,95.9,11.7,0.9980,0.01256,9,3,0.8000,NA,NA,0.1600,forest,fruit,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.torquatus,Tutor,111.9,11.5,0.9620,1.75400,15,3,0.5600,NA,0.2000,0.2000,forest,fruit,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.viscivorus,Tuvis,100.1,16.8,0.9402,9.09639,16,12,0.3200,NA,0.2000,0.4400,forest,fruit,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Corvidae,Garrulus,Garrulus.glandarius,Gagla,160.4,19.3,0.4000,0.91867,10,12,0.0800,NA,NA,0.7200,forest,fruit,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Paridae,Parus,Parus.ater,Paate,8.5,5.3,0.0510,5.09036,10,12,NA,NA,0.4000,0.4000,forest,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Sittidae,Sitta,Sitta.europaea,Sieur,19.6,8.5,0.0356,0.66265,12,12,NA,NA,0.1600,0.7600,forest,other,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza.cia,Emcia,22.3,8.0,0.0000,0.75301,13,4,0.1600,NA,0.2800,0.2000,other,other,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Fringillidae,Fringilla,Fringilla.coelebs,Frcoe,19.6,7.1,0.1580,8.73494,16,12,0.1600,NA,0.1200,0.4400,forest,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Paridae,Parus,Parus.caeruleus,Pacae,9.7,5.1,0.4090,1.55120,13,12,NA,NA,0.1600,0.6400,forest,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Paridae,Parus,Parus.cristatus,Pacri,10.5,6.0,0.1050,0.55723,11,12,0.6400,NA,NA,0.2000,forest,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Paridae,Parus,Parus.major,Pamaj,17.2,6.9,0.5870,0.78313,14,12,NA,NA,0.1600,0.7200,forest,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Fringillidae,Serinus,Serinus.citrinella,Secit,12.0,6.1,0.0000,0.13554,2,4,0.6400,NA,NA,0.2400,other,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Fringillidae,Serinus,Serinus.serinus,Seser,11.2,6.0,0.0000,0.45181,10,4,0.4800,NA,0.0400,0.3600,other,other,social,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Fringillidae,Coccothraustes,Coccothraustes.coccothraustes,Cococ,46.0,16.5,0.9700,0.03012,9,12,NA,NA,0.1200,0.2400,forest,other,solitary,0,1,NA,NA,NA,NA,NA
Aves,Passeriformes,Fringillidae,Loxia,Loxia.curvirostra,Locur,36.4,9.6,0.0800,0.61747,10,12,NA,NA,0.4000,0.4000,forest,other,social,0,1,NA,NA,NA,NA,NA
Mammalia,Carnivora,Canidae,Vulpes,Vulpes.vulpes,Vuvul,6000.0,18.0,0.8000,NA,19,12,NA,NA,NA,NA,other,other,solitary,1,1,NA,NA,NA,NA,NA
Mammalia,Carnivora,Mustelidae,Meles,Meles.meles,Memel,12000.0,18.0,0.8000,NA,10,12,NA,NA,NA,NA,forest,other,solitary,1,1,NA,NA,NA,NA,NA
Mammalia,Carnivora,Mustelidae,Martes,Martes.foina,Mafoi,1800.0,15.0,0.8000,NA,7,12,NA,NA,NA,NA,forest,other,solitary,1,1,NA,NA,NA,NA,NA
